,Station_Name,Owner,Latitude,Longitude,Wind Dir.,Wind speed,Wave Height,Dom Wave Period,Ave Wave Period,Wave Dir.,Sea Level Pressure,Air Temp.,Sea Surface Temp.,Dewpoint Temp.,Station Visib.,Water Level,Energy Flux,Wave Height Cat,Wave Period Cat
0,44005,Shell Oil Stations,-69.128,43.204,194.93472646161067,5.7799155326138045,1.3601703084832888,7.705,5.288071979434465,161.282,1016.041,9.710,11.016,11.471,,,4790.355456387873,Tall,Long
1,44095,Shell Oil Stations,-75.330,35.750,,,1.3402403150153408,8.322,5.550170826336227,102.439,,,18.003,,,,4881.524880728452,Tall,Long
2,42020,Shell Oil Stations,-96.694,26.968,135.86036889524766,6.4575387044596395,1.2808008356546017,6.563,4.851848885793895,111.423,1015.087,24.147,25.139,21.528,,,3897.214164448599,Tall,Average
3,41044,Shell Oil Stations,-58.614,21.639,100.20886186941021,5.6717065753002895,1.7124064852345138,9.369,6.34987955993052,107.313,1018.619,26.441,27.263,21.352,,,9117.232241198111,Very Tall,Long
4,46053,Shell Oil Stations,-119.841,34.248,222.27968245996948,4.491136315495583,1.1334796710297683,10.070,5.965806787906875,253.150,1015.245,15.322,15.757,12.949,,,3753.0163519596867,Tall,Long
5,46025,Shell Oil Stations,-119.053,33.749,224.97994866549587,3.8267923148005565,1.0811374956562028,12.421,6.313183134483948,217.177,1014.969,16.306,16.991,14.255,,,3613.2170322030574,Tall,Long
6,42059,Shell Oil Stations,-67.472,15.054,101.69077027385548,7.060540229885107,1.4016037409075113,7.104,5.1140526498094925,98.250,1013.761,28.421,28.786,24.541,,,4919.256776505672,Tall,Long
7,51210,Shell Oil Stations,-157.756,21.477,,,1.6658630569524,9.179,6.401333177406148,101.878,,,25.892,,,,8698.268874102841,Very Tall,Long
8,46047,Shell Oil Stations,-119.536,32.403,285.24714803824594,5.7946744002108845,2.0487466598803894,12.172,7.3537740170504975,277.114,1014.856,16.070,17.013,13.906,,,15113.693082739124,Very Tall,Very Long
9,44099,Shell Oil Stations,-75.720,36.901,,,1.0126025694156642,8.188,4.997139798314688,109.822,,,18.394,,,,2508.899998117565,Tall,Average
10,46069,Shell Oil Stations,-120.200,33.670,281.72287720654555,6.847324002883274,2.017526414651329,12.116,7.134306175158494,275.767,1015.121,15.231,15.999,14.169,,,14219.162068191885,Very Tall,Very Long
11,46081,Shell Oil Stations,-148.263,60.803,142.3369080779944,4.178978061649542,0.15812589824661874,3.125,2.7857760850819204,113.818,1012.816,7.610,9.162,5.285,,,34.1064108042017,Low Height,Short
12,46029,Shell Oil Stations,-124.514,46.159,199.6646193069881,5.7270698427381905,2.1122675763182297,11.509,7.049442645698411,277.658,1017.148,11.784,12.642,8.763,,,15400.557708005172,Very Tall,Very Long
13,46108,Shell Oil Stations,-151.817,59.590,,,0.6306463533225273,5.110,3.7324330632090734,244.517,,,8.303,,,,726.8547071258996,Average Height,Average
14,46256,Shell Oil Stations,-118.201,33.700,,,0.8582727537074734,14.236,7.972836289619107,212.176,,,16.983,,,,2875.7246499084845,Average Height,Very Long
15,44027,Shell Oil Stations,-67.314,44.273,212.94350544107436,6.992214252660812,1.4385683179096356,7.094,5.016309199782256,183.574,1014.899,6.712,8.458,7.794,,,5083.105022333066,Tall,Long
16,46011,Shell Oil Stations,-120.992,35.000,238.50651580179482,5.576851707469198,2.02160804655871,11.895,7.124228238866378,281.638,1016.234,13.792,14.680,10.008,,,14256.586102932637,Very Tall,Very Long
17,46086,Shell Oil Stations,-118.034,32.491,255.54370365905118,3.9668615162106815,1.4826248415716117,12.776,7.173275031685687,241.268,1014.416,17.146,18.701,14.373,,,7720.827141475764,Tall,Very Long
18,41047,Shell Oil Stations,-71.483,27.517,144.67893073836433,5.700453475357907,1.6150919245985584,8.697,6.0512822899697625,117.699,1018.436,26.413,27.677,21.200,,,7729.042693197532,Very Tall,Long
19,41115,Shell Oil Stations,-67.280,18.379,,,0.9396946905475148,9.242,6.083248135636415,130.004,,,28.260,,,,2630.224867655479,Average Height,Long
20,44090,Shell Oil Stations,-70.329,41.840,,,0.5758550003274594,4.060,3.2415757416988717,209.638,,,11.585,,,,526.3398593177435,Average Height,Average
21,44020,Shell Oil Stations,-70.186,41.443,200.43963113195588,6.467521971123692,0.4884492972470636,3.795,3.352436984551038,184.206,1016.480,8.649,12.240,4.619,,,391.63671869864083,Low Height,Average
22,46080,Shell Oil Stations,-150.042,57.947,191.4948308270677,7.140425778086323,2.2105218095568646,9.805,6.463796135601081,189.138,1008.876,7.678,9.012,7.111,,,15465.396562224287,Very Tall,Long
23,51213,Shell Oil Stations,-157.003,20.750,,,1.0104524191859214,13.145,7.131005375968732,209.396,,,26.904,,,,3565.055552665364,Tall,Very Long
24,51209,Shell Oil Stations,-170.494,-14.265,,,2.190744855967077,11.220,7.463432098765447,159.811,,,28.993,,,,17539.04688493859,Very Tall,Very Long
25,46014,Shell Oil Stations,-123.974,39.235,246.54380933927533,5.993310998151616,2.3183930434782614,11.202,7.070338550724643,289.375,1015.511,12.341,12.460,11.092,,,18607.93333610152,Very Tall,Very Long
26,44089,Shell Oil Stations,-75.334,37.756,,,1.007822331173758,8.172,5.167727776805021,120.030,,,15.656,,,,2570.1080631880595,Tall,Long
27,41112,Shell Oil Stations,-81.293,30.719,,,0.8926984310774067,7.824,4.8281572396225325,105.309,,,22.497,,,,1883.973328658638,Average Height,Average
28,41010,Shell Oil Stations,-78.493,28.872,151.11707959630397,6.249346449265603,1.4953963083604715,8.371,5.696996471226909,112.899,1017.764,24.981,26.661,19.790,,,6237.956768642102,Tall,Long
29,44087,Shell Oil Stations,-76.151,37.026,,,0.5049618038442587,6.094,3.725455889600768,130.881,,,17.535,,,,465.136354307127,Average Height,Average
30,46264,Shell Oil Stations,-151.695,57.479,,,2.6007600625244307,10.137,6.950095740523663,171.195,,,8.146,,,,23018.40165746272,Very Tall,Long
31,51206,Shell Oil Stations,-154.970,19.780,,,1.998098627677314,9.687,7.086936001026016,121.436,,,26.267,,,,13854.031019792114,Very Tall,Very Long
32,46059,Shell Oil Stations,-129.969,38.047,218.50387193712442,6.788644723918097,2.5038502488137904,11.535,7.278538363615283,224.280,1020.108,11.889,15.885,8.594,,,22343.16429236945,Very Tall,Very Long
33,46253,Shell Oil Stations,-118.184,33.578,,,0.9217705909725452,12.594,6.775207654723122,216.822,,,17.832,,,,2818.7211103550294,Average Height,Long
34,51202,Shell Oil Stations,-157.668,21.417,,,1.831888843907232,9.486,6.478234341564997,106.890,,,25.946,,,,10644.829053608095,Very Tall,Long
35,44098,Shell Oil Stations,-70.168,42.798,,,1.2419189131819115,7.543,5.062617278709405,144.609,,,12.172,,,,3823.3616603031337,Tall,Long
36,46232,Shell Oil Stations,-117.431,32.530,,,1.2707363013698585,13.688,7.784938356164335,230.743,,,18.340,,,,6155.308908180806,Tall,Very Long
37,46082,Shell Oil Stations,-143.392,59.668,165.91628026790315,6.744495296211535,2.0928305594082333,10.478,6.64165164123903,190.291,1010.822,8.608,10.126,6.312,,,14243.870976765544,Very Tall,Long
38,46243,Shell Oil Stations,-124.128,46.216,,,1.7887745778394708,11.675,-,260.320,,,12.243,,,,11546.430924648444,Very Tall,Very Long
39,41108,Shell Oil Stations,-78.015,33.721,,,0.9750266512166896,7.230,4.580396871378944,153.292,,,20.857,,,,2132.160457307975,Average Height,Average
40,46060,Shell Oil Stations,-146.784,60.584,171.49147992530345,5.168627904288494,0.6602867092280928,8.502,4.8911247823563615,180.901,1010.536,7.951,9.732,,,,1044.1374084171698,Average Height,Average
41,51101,Shell Oil Stations,-162.058,24.321,108.89003482972136,6.271583626811403,2.298089548776244,10.974,7.195154854425242,172.366,1017.634,24.489,23.637,21.576,,,18606.20674707562,Very Tall,Very Long
42,41159,Shell Oil Stations,-76.948,34.210,,,1.3093088038999503,7.582,5.1742429342464105,142.376,,,22.436,,,,4343.249649873571,Tall,Long
43,51000,Shell Oil Stations,-154.056,23.546,105.44248716752216,6.540746734481544,2.2881216044387904,10.759,7.167018841752398,172.443,1016.826,24.128,25.321,,,,18373.020155962007,Very Tall,Very Long
44,46001,Shell Oil Stations,-147.920,56.304,214.14006950013362,7.996560069144343,2.8739218398754915,10.514,6.9834929967144745,221.670,1008.237,8.109,9.146,,,,28242.71276908896,Very Tall,Long
45,46041,Shell Oil Stations,-124.704,47.349,210.15404275092936,5.134229432213204,2.050257242178441,11.423,7.255090382387031,272.000,1016.965,11.344,12.420,,,,14932.871854168003,Very Tall,Very Long
46,42098,Shell Oil Stations,-82.931,27.589,,,0.6658160219675235,4.665,3.5353193648519508,216.370,,,25.267,,,,767.398484558421,Average Height,Average
47,42055,Shell Oil Stations,-94.000,22.203,109.5429232961292,6.161906325491923,1.273329075708314,6.408,4.844343938690184,100.586,1013.714,25.082,27.602,21.532,,,3845.918559780454,Tall,Average
48,46006,Shell Oil Stations,-137.464,40.754,209.62735194324486,6.723522504138927,2.530819634174585,11.559,7.203389673535547,249.357,1019.878,14.969,16.084,12.776,,,22591.397694749718,Very Tall,Very Long
49,51201,Shell Oil Stations,-158.116,21.673,,,1.6644339399669132,11.017,7.0502676672182085,207.323,,,24.321,,,,9563.62488496249,Very Tall,Very Long
50,46219,Shell Oil Stations,-119.882,33.221,,,2.0525591267434757,12.476,7.653434808975183,275.582,,,15.647,,,,15788.160833926182,Very Tall,Very Long
51,46259,Shell Oil Stations,-121.664,34.732,,,2.2029328580611254,11.937,7.767908607491374,284.057,,,15.013,,,,18458.246036463846,Very Tall,Very Long
52,46114,Shell Oil Stations,-122.342,36.710,,,2.1625708202732232,12.106,7.788056064817562,279.011,,,14.039,,,,17834.19654340003,Very Tall,Very Long
53,41013,Shell Oil Stations,-77.743,33.436,169.3877255620959,6.660459920650097,1.325259310824925,7.530,5.112195150249448,136.990,1017.715,21.399,23.816,16.856,,,4396.357025957105,Tall,Long
54,46248,Shell Oil Stations,-124.667,46.133,,,2.142355627371081,11.703,7.601691021497829,272.822,,,13.247,,,,17083.511498487198,Very Tall,Very Long
55,41114,Shell Oil Stations,-80.225,27.551,,,0.962741874764711,8.552,4.935053959091462,76.954,,,25.724,,,,2239.72878370533,Average Height,Average
56,41002,Shell Oil Stations,-74.835,31.862,164.80791589962212,6.610678520540255,1.0901465901848308,7.175,5.12627151051625,168.729,1017.907,25.298,27.478,20.837,,,2983.0134249067573,Tall,Long
57,44009,Shell Oil Stations,-74.703,38.461,188.65875847306458,6.0783003741314925,1.1733011852196176,7.544,5.031911457122959,136.721,1016.957,18.087,15.164,15.888,,,3391.84354245039,Tall,Long
58,46078,Shell Oil Stations,-152.640,55.990,201.69682208304337,7.8317445627024425,2.5500474317445514,10.271,6.8019065247570625,202.421,1007.175,8.367,10.456,7.879,,,21657.63240718995,Very Tall,Long
59,44091,Shell Oil Stations,-73.770,39.769,,,1.228369627325253,8.032,5.118823566757674,140.934,,,15.242,,,,3781.917942757856,Tall,Long
60,46215,Shell Oil Stations,-120.860,35.204,,,1.5093319118692203,12.329,7.558162434580297,258.761,,,14.272,,,,8430.814463647857,Very Tall,Very Long
61,46254,Shell Oil Stations,-117.267,32.868,,,0.7464440101172632,10.015,5.977857553460567,282.791,,17.860,18.529,,,,1630.8868783791102,Average Height,Long
62,46089,Shell Oil Stations,-125.819,45.893,211.960300925926,6.346587228135136,2.2691634849010742,11.454,7.142960777507807,269.171,1017.166,12.283,13.523,,,,18009.16760229459,Very Tall,Very Long
63,41048,Shell Oil Stations,-69.497,31.950,173.55979387379088,6.164685264458329,1.7709363101419169,8.632,6.076967808930445,154.982,1017.639,26.274,25.908,22.055,,,9332.04066614395,Very Tall,Long
64,51212,Shell Oil Stations,-158.149,21.323,,,1.1194640834575185,13.084,7.883485543964238,234.823,,,26.719,,,,4837.515907180913,Tall,Very Long
65,42040,Shell Oil Stations,-88.207,29.212,157.63197061950325,5.508955396348517,0.9626553738317744,5.556,4.256107476635514,152.568,1017.486,25.310,27.754,20.952,,,1931.248089916282,Average Height,Average
66,44100,Shell Oil Stations,-75.591,36.258,,,1.1537299608122515,8.422,5.391674385464906,97.738,,,17.362,,,,3514.113624797477,Tall,Long
67,46211,Shell Oil Stations,-124.240,46.857,,,1.7759238820171264,11.483,7.482212496035513,271.229,,,12.344,,,,11554.802717762988,Very Tall,Very Long
68,46066,Shell Oil Stations,-155.047,52.785,233.61057962858754,8.637637130801686,2.8481127801621424,10.543,7.069477825464936,213.073,1009.670,8.509,7.782,,,,28079.249999880343,Very Tall,Very Long
69,52202,Shell Oil Stations,144.811,13.682,,,1.6695361816782173,9.479,6.4521946369002094,116.188,,,28.734,,,,8806.086202011049,Very Tall,Long
70,44018,Shell Oil Stations,-70.143,42.206,197.03473830477074,6.668005091414074,1.1157217512484061,7.073,4.90931947509001,142.230,1016.041,9.519,,5.300,,,2992.381053346561,Tall,Average
